"Puntaje_Mat","INSE_est","Codigo_Centro","Region","ESCS_Centro"
377.9516785,60,47294,"SUR",0.223537992
275.4035423,43,47294,"SUR",0.223537992
193.5763449,67,42092,"ESTE",-0.320916857
307.2930133,47,47294,"SUR",0.223537992
287.7759805,36,47294,"SUR",0.223537992
388.8240344,58,62237,"SUR",1.055421658
344.7838073,53,62050,"SUR",1.476905197
293.425842,39,47821,"SUR",0.15250815
230.2978231,64,47821,"SUR",0.15250815
287.7759805,43,47906,"SUR",-0.118286512
287.2980576,52,53516,"ESTE",0.958905998
431.3504643,49,47821,"SUR",0.15250815
258.7965829,49,47991,"SUR",-0.300772333
284.6992678,41,47821,"SUR",0.15250815
172.7726235,45,47481,"SUR",0.507060049
290.9500661,65,47294,"SUR",0.223537992
316.7147349,41,53380,"SUR",0.35113503
236.231569,58,47821,"SUR",0.15250815
339.8196235,44,53074,"SUR",0.514942829
215.2760837,48,47821,"SUR",0.15250815
279.1437919,36,45356,"SUR",0.096954963
308.562689,57,47821,"SUR",0.15250815
317.2709048,41,47821,"SUR",0.15250815
330.5341143,58,51748,"SUR",0.97611633
286.8303445,49,47821,"SUR",0.15250815
267.7054601,49,42245,"SUR",0.034928885
296.7787568,33,45050,"SUR",-0.510091428
425.691644,58,48365,"SUR",-0.253631559
286.422659,31,42806,"SUR",-0.737073331
314.0577522,44,47821,"SUR",0.15250815
318.1821513,42,47294,"SUR",0.223537992
296.6431314,40,42636,"SUR",-0.120478519
349.0447606,47,47821,"SUR",0.15250815
273.1114451,23,47583,"SUR",0.13763174
200.1918266,42,47634,"SUR",0.423717284
334.2749277,39,47634,"SUR",0.423717284
222.9835216,27,40868,"SUR",-0.230660914
479.9714446,56,51612,"SUR",0.649728824
283.0997686,54,47770,"SUR",0.296675293
339.6382546,55,62135,"SUR",1.421374159
316.174871,32,47821,"SUR",0.15250815
411.7127011,51,47787,"SUR",0.46765431
310.4880588,49,51272,"NORTE",1.375256375
334.2749277,63,47787,"SUR",0.46765431
326.1832845,55,53227,"SUR",1.122185457
440.0450823,50,53227,"SUR",1.122185457
357.2973844,60,53227,"SUR",1.122185457
287.2980576,27,49453,"ESTE",-0.25657256
388.9755139,70,53227,"SUR",1.122185457
306.2936756,51,53227,"SUR",1.122185457
273.1114451,67,51510,"SUR",1.044189069
301.8829919,47,48484,"SUR",-0.003853158
315.4741958,29,52700,"SUR",-0.611683561
315.4741958,40,42500,"SUR",-0.470093789
252.8834764,61,46920,"ESTE",-0.280013632
296.6431314,38,42840,"SUR",-0.286899484
351.9635727,62,51629,"SUR",1.24769731
339.7598262,69,62050,"SUR",1.476905197
269.2774051,48,47787,"SUR",0.46765431
284.6992678,26,42857,"SUR",-0.866596794
284.6381627,47,42313,"SUR",-0.573547266
412.4519665,59,47634,"SUR",0.423717284
283.0997686,36,47634,"SUR",0.423717284
350.7261949,46,53805,"SUR",-0.426497298
371.2158816,53,47634,"SUR",0.423717284
280.3553398,50,47770,"SUR",0.296675293
327.859256,60,47634,"SUR",0.423717284
249.2398878,40,47583,"SUR",0.13763174
260.3827456,54,48178,"SUR",-0.023095831
301.9002856,53,47770,"SUR",0.296675293
381.6117719,53,47770,"SUR",0.296675293
316.7147349,44,47583,"SUR",0.13763174
275.4035423,33,50609,"ESTE",-0.141860259
247.214532,43,48484,"SUR",-0.003853158
269.83028,39,42704,"SUR",-0.534053201
243.3370586,37,48484,"SUR",-0.003853158
197.2651506,32,48484,"SUR",-0.003853158
300.3622396,37,42619,"SUR",-1.047885162
351.1942606,51,48484,"SUR",-0.003853158
247.214532,48,48484,"SUR",-0.003853158
232.6981509,45,48484,"SUR",-0.003853158
273.1114451,50,48484,"SUR",-0.003853158
367.6352084,39,48484,"SUR",-0.003853158
350.7261949,35,48484,"SUR",-0.003853158
243.3370586,42,48484,"SUR",-0.003853158
322.1250074,38,48484,"SUR",-0.003853158
286.8303445,32,50507,"NORTE",-0.670808289
258.1880931,25,52700,"SUR",-0.611683561
306.8270852,34,48484,"SUR",-0.003853158
322.9016911,50,48484,"SUR",-0.003853158
254.9737568,47,48059,"SUR",-0.464804689
330.9438913,46,48484,"SUR",-0.003853158
252.8834764,36,48484,"SUR",-0.003853158
526.9006357,49,48484,"SUR",-0.003853158
274.0149234,53,48484,"SUR",-0.003853158
320.4717324,48,48484,"SUR",-0.003853158
277.8999698,42,42432,"SUR",-0.353035735
289.965091,45,47651,"SUR",-0.289768388
237.1504405,27,48484,"SUR",-0.003853158
335.2123615,61,53227,"SUR",1.122185457
438.4285147,57,51748,"SUR",0.97611633
306.6808072,48,53227,"SUR",1.122185457
315.4741958,50,51748,"SUR",0.97611633
336.6330262,65,53227,"SUR",1.122185457
326.1832845,74,51748,"SUR",0.97611633
317.2709048,66,53227,"SUR",1.122185457
330.9438913,58,51748,"SUR",0.97611633
282.5470076,42,45934,"OESTE",0.062599276
411.7127011,52,51748,"SUR",0.97611633
348.6436799,57,51748,"SUR",0.97611633
267.7054601,56,48178,"SUR",-0.023095831
184.4701822,33,42755,"SUR",-0.685070098
380.5631564,64,51612,"SUR",0.649728824
471.5929605,57,61965,"SUR",0.87931552
275.7160987,43,42840,"SUR",-0.286899484
317.5905884,36,47991,"SUR",-0.300772333
258.7965829,56,44693,"SUR",-0.199957769
327.859256,40,48059,"SUR",-0.464804689
226.4199856,25,42381,"SUR",-0.793004543
220.3677095,37,42432,"SUR",-0.353035735
310.4880588,47,47634,"SUR",0.423717284
386.9828096,48,47566,"SUR",0.135447084
537.2579629,45,47566,"SUR",0.135447084
343.9919092,44,47566,"SUR",0.135447084
381.598888,47,47294,"SUR",0.223537992
324.4027794,39,47821,"SUR",0.15250815
424.9226949,46,47634,"SUR",0.423717284
361.3112058,53,48484,"SUR",-0.003853158
274.0149234,43,47566,"SUR",0.135447084
322.1250074,33,47821,"SUR",0.15250815
324.9718168,53,47481,"SUR",0.507060049
424.1919327,53,53159,"SUR",1.053653735
304.1187424,48,47481,"SUR",0.507060049
342.7604256,61,47481,"SUR",0.507060049
301.430441,43,47481,"SUR",0.507060049
367.1493948,59,51629,"SUR",1.24769731
344.7838073,53,47481,"SUR",0.507060049
342.7604256,74,51629,"SUR",1.24769731
347.2553335,61,51629,"SUR",1.24769731
267.8574725,54,47770,"SUR",0.296675293
282.5470076,36,47770,"SUR",0.296675293
320.4717324,36,47770,"SUR",0.296675293
218.8537635,48,47770,"SUR",0.296675293
330.5341143,43,47787,"SUR",0.46765431
307.2930133,43,47770,"SUR",0.296675293
286.8303445,34,47957,"SUR",-0.289738026
245.6165556,40,47957,"SUR",-0.289738026
252.8834764,46,47957,"SUR",-0.289738026
267.6096759,23,47957,"SUR",-0.289738026
334.0539454,50,47957,"SUR",-0.289738026
339.8196235,42,47821,"SUR",0.15250815
270.7438559,30,47957,"SUR",-0.289738026
315.8687186,61,47957,"SUR",-0.289738026
306.0647709,44,47957,"SUR",-0.289738026
257.0654075,45,47957,"SUR",-0.289738026
326.1832845,45,47294,"SUR",0.223537992
258.0020604,48,47957,"SUR",-0.289738026
234.1560109,55,47957,"SUR",-0.289738026
286.8303445,35,47957,"SUR",-0.289738026
284.6992678,41,47957,"SUR",-0.289738026
256.7738287,46,47957,"SUR",-0.289738026
333.1526385,46,47787,"SUR",0.46765431
308.6095681,42,47991,"SUR",-0.300772333
318.9970367,43,47787,"SUR",0.46765431
314.0577522,46,47787,"SUR",0.46765431
325.9380242,55,51748,"SUR",0.97611633
265.085995,35,46002,"OESTE",0.260935446
413.7722485,51,51510,"SUR",1.044189069
339.8196235,59,51748,"SUR",0.97611633
404.0397613,63,51748,"SUR",0.97611633
352.414966,51,51748,"SUR",0.97611633
289.870797,36,48450,"SUR",-0.715425855
317.5905884,34,49181,"NORTE",-0.702429558
228.6192804,34,43792,"OESTE",-0.735956597
297.4356066,62,61999,"SUR",1.34856133
283.0997686,40,42636,"SUR",-0.120478519
331.5818959,42,47770,"SUR",0.296675293
352.8661142,40,47770,"SUR",0.296675293
325.8096242,60,47770,"SUR",0.296675293
242.7698473,42,47634,"SUR",0.423717284
218.8537635,31,47821,"SUR",0.15250815
395.9046785,30,47566,"SUR",0.135447084
237.1504405,55,47770,"SUR",0.296675293
361.836102,46,47481,"SUR",0.507060049
348.6436799,47,47566,"SUR",0.135447084
330.4299864,56,47566,"SUR",0.135447084
335.0905343,61,47566,"SUR",0.135447084
393.7943315,44,47566,"SUR",0.135447084
273.1114451,53,42500,"SUR",-0.470093789
267.6096759,26,42568,"SUR",-0.899716628
243.6623033,30,42364,"SUR",-0.784713486
262.3279749,32,42568,"SUR",-0.899716628
264.6251715,27,42568,"SUR",-0.899716628
232.6981509,24,42857,"SUR",-0.866596794
300.3622396,48,47566,"SUR",0.135447084
326.1832845,44,47770,"SUR",0.296675293
412.4519665,45,47770,"SUR",0.296675293
339.8196235,38,47770,"SUR",0.296675293
273.1114451,54,47566,"SUR",0.135447084
284.9515209,40,42568,"SUR",-0.899716628
264.3384975,55,48484,"SUR",-0.003853158
286.422659,56,48484,"SUR",-0.003853158
216.1323021,55,53074,"SUR",0.514942829
314.0577522,58,61982,"SUR",0.358978104
303.6777238,41,47651,"SUR",-0.289768388
459.4674901,74,62050,"SUR",1.476905197
419.3446849,62,51629,"SUR",1.24769731
297.537431,53,62067,"SUR",0.409841085
301.430441,39,42585,"SUR",-0.350643116
258.7965829,35,47226,"ESTE",0.181178992
347.2553335,32,42585,"SUR",-0.350643116
246.4484682,44,42585,"SUR",-0.350643116
249.2398878,34,42585,"SUR",-0.350643116
306.0647709,36,42585,"SUR",-0.350643116
226.4199856,22,42585,"SUR",-0.350643116
335.0905343,39,55896,"SUR",-0.652097042
249.2398878,38,54808,"SUR",-0.2508658
245.9752409,29,55896,"SUR",-0.652097042
243.6104925,37,60962,"NORTE",-0.572519159
275.7160987,53,47906,"SUR",-0.118286512
309.0588243,34,47906,"SUR",-0.118286512
258.1880931,48,42585,"SUR",-0.350643116
243.6623033,45,42874,"SUR",-1.019204791
287.2980576,14,45849,"NORTE",-0.824632104
306.8270852,25,42500,"SUR",-0.470093789
239.9239582,35,42500,"SUR",-0.470093789
337.2903764,27,42500,"SUR",-0.470093789
301.430441,45,47787,"SUR",0.46765431
330.5341143,42,47787,"SUR",0.46765431
363.0610442,56,47787,"SUR",0.46765431
293.7581134,60,47787,"SUR",0.46765431
286.422659,44,47770,"SUR",0.296675293
325.8096242,57,47787,"SUR",0.46765431
313.2289722,38,52734,"SUR",-0.148567507
241.8237008,54,52734,"SUR",-0.148567507
320.4717324,35,52734,"SUR",-0.148567507
258.7965829,46,52734,"SUR",-0.148567507
320.4717324,52,62101,"SUR",0.596761014
320.4717324,53,53074,"SUR",0.514942829
300.7779716,46,42296,"SUR",-0.090339514
256.7738287,28,45781,"NORTE",-0.399056163
234.1560109,48,47957,"SUR",-0.289738026
301.9002856,47,48365,"SUR",-0.253631559
304.0351156,38,42432,"SUR",-0.353035735
289.965091,30,42432,"SUR",-0.353035735
223.9417442,24,42432,"SUR",-0.353035735
293.7581134,52,42432,"SUR",-0.353035735
284.6992678,36,42432,"SUR",-0.353035735
279.8327563,48,42398,"SUR",-0.369396577
252.0373703,39,42398,"SUR",-0.369396577
320.4717324,32,42398,"SUR",-0.369396577
230.8436887,34,42398,"SUR",-0.369396577
279.1437919,28,47566,"SUR",0.135447084
309.989457,44,47566,"SUR",0.135447084
218.8537635,35,42857,"SUR",-0.866596794
255.3903467,30,47651,"SUR",-0.289768388
316.7147349,34,47651,"SUR",-0.289768388
277.8999698,46,47651,"SUR",-0.289768388
317.5905884,46,42925,"SUR",-0.562851869
271.3944247,56,48416,"SUR",-0.40962205
279.2295562,34,48416,"SUR",-0.40962205
231.7936925,42,47481,"SUR",0.507060049
284.6992678,25,48416,"SUR",-0.40962205
301.8829919,22,46750,"CENTRO",0.070727076
306.0647709,40,48416,"SUR",-0.40962205
231.7936925,20,48416,"SUR",-0.40962205
284.6992678,51,47787,"SUR",0.46765431
321.1045335,36,42704,"SUR",-0.534053201
232.0073342,63,42585,"SUR",-0.350643116
238.4450739,30,47821,"SUR",0.15250815
275.4035423,31,62067,"SUR",0.409841085
276.3998958,28,47566,"SUR",0.135447084
306.0647709,25,47957,"SUR",-0.289738026
300.7779716,34,47294,"SUR",0.223537992
280.3553398,50,47770,"SUR",0.296675293
193.5763449,38,47566,"SUR",0.135447084
286.8303445,52,42245,"SUR",0.034928885
290.2230055,60,53805,"SUR",-0.426497298
279.8327563,48,42347,"SUR",-0.299397213
299.4020251,51,47566,"SUR",0.135447084
277.8999698,36,42806,"SUR",-0.737073331
215.9568209,21,42806,"SUR",-0.737073331
287.7759805,26,42585,"SUR",-0.350643116
297.3411492,52,53159,"SUR",1.053653735
260.364566,43,47294,"SUR",0.223537992
260.364566,30,47294,"SUR",0.223537992
352.414966,53,47294,"SUR",0.223537992
369.2942856,39,47294,"SUR",0.223537992
181.4183147,24,43333,"NORTE",-1.041237833
226.4199856,22,42806,"SUR",-0.737073331
333.1526385,36,48637,"OESTE",-0.256819472
300.7779716,34,48365,"SUR",-0.253631559
255.3903467,32,48178,"SUR",-0.023095831
311.4388097,63,51510,"SUR",1.044189069
331.2869136,44,53380,"SUR",0.35113503
258.0020604,22,42313,"SUR",-0.573547266
459.4674901,47,48178,"SUR",-0.023095831
376.9697248,49,48178,"SUR",-0.023095831
334.2749277,35,48178,"SUR",-0.023095831
271.2019487,44,48178,"SUR",-0.023095831
282.5470076,42,47787,"SUR",0.46765431
325.9380242,42,47634,"SUR",0.423717284
343.1791517,43,47566,"SUR",0.135447084
306.8270852,41,47634,"SUR",0.423717284
361.9099069,43,51748,"SUR",0.97611633
374.8272758,58,47634,"SUR",0.423717284
311.9597951,68,47634,"SUR",0.423717284
246.0060812,47,47634,"SUR",0.423717284
304.0351156,52,51748,"SUR",0.97611633
351.3598307,46,47634,"SUR",0.423717284
482.5442903,59,47634,"SUR",0.423717284
289.965091,52,47583,"SUR",0.13763174
260.3827456,28,47634,"SUR",0.423717284
276.3998958,54,47634,"SUR",0.423717284
336.6330262,45,47651,"SUR",-0.289768388
291.2975457,71,62067,"SUR",0.409841085
392.1781358,56,47787,"SUR",0.46765431
260.364566,57,42636,"SUR",-0.120478519
313.2289722,60,47787,"SUR",0.46765431
252.8834764,30,48484,"SUR",-0.003853158
211.3200358,28,52734,"SUR",-0.148567507
300.3622396,42,54808,"SUR",-0.2508658
294.663634,53,47906,"SUR",-0.118286512
306.8270852,40,42636,"SUR",-0.120478519
277.8999698,39,42296,"SUR",-0.090339514
316.7147349,60,51680,"SUR",1.317347003
348.6436799,64,51680,"SUR",1.317347003
357.7468545,53,53227,"SUR",1.122185457
231.7936925,48,44999,"SUR",0.401953791
284.9515209,39,47481,"SUR",0.507060049
361.3360138,63,51629,"SUR",1.24769731
458.3105529,70,55607,"SUR",1.854121924
283.0997686,65,55607,"SUR",1.854121924
275.7160987,43,47481,"SUR",0.507060049
257.0127499,52,47787,"SUR",0.46765431
497.3934941,60,47481,"SUR",0.507060049
284.9515209,67,51629,"SUR",1.24769731
345.3780862,53,51629,"SUR",1.24769731
471.0606121,61,51629,"SUR",1.24769731
419.3446849,59,51629,"SUR",1.24769731
451.252447,68,51629,"SUR",1.24769731
299.5835778,55,47481,"SUR",0.507060049
323.7666907,39,47481,"SUR",0.507060049
334.0539454,59,51629,"SUR",1.24769731
279.1437919,57,47481,"SUR",0.507060049
369.2942856,71,61999,"SUR",1.34856133
344.2969754,47,48586,"OESTE",-0.168937227
313.0786865,45,42432,"SUR",-0.353035735
343.1791517,40,47770,"SUR",0.296675293
279.1437919,44,47481,"SUR",0.507060049
388.8240344,57,47770,"SUR",0.296675293
335.2123615,43,44591,"SUR",-0.335651724
306.6808072,56,47175,"ESTE",0.397226969
260.3827456,27,42704,"SUR",-0.534053201
303.6777238,32,41089,"SUR",-0.561036464
271.3944247,59,47770,"SUR",0.296675293
341.3414299,43,48365,"SUR",-0.253631559
241.8237008,37,48365,"SUR",-0.253631559
386.1271814,53,48365,"SUR",-0.253631559
291.2975457,51,48365,"SUR",-0.253631559
276.3998958,37,48365,"SUR",-0.253631559
265.085995,47,49232,"NORTE",0.094670841
334.1791898,40,50490,"NORTE",-0.758334533
279.899218,41,53805,"SUR",-0.426497298
286.422659,30,42364,"SUR",-0.784713486
315.4741958,45,48365,"SUR",-0.253631559
249.2398878,57,47770,"SUR",0.296675293
334.0539454,51,47566,"SUR",0.135447084
248.7882652,21,42381,"SUR",-0.793004543
267.6096759,37,42381,"SUR",-0.793004543
280.7094219,16,42381,"SUR",-0.793004543
350.3960501,40,48059,"SUR",-0.464804689
335.2123615,53,48059,"SUR",-0.464804689
342.2350907,28,48059,"SUR",-0.464804689
294.663634,39,48484,"SUR",-0.003853158
315.4741958,33,50269,"OESTE",-0.388389771
234.1560109,33,41208,"SUR",-0.486046187
293.425842,21,42585,"SUR",-0.350643116
197.2651506,25,44421,"NORTE",-0.153143557
269.3817827,30,42585,"SUR",-0.350643116
330.9302566,39,42585,"SUR",-0.350643116
265.085995,37,42585,"SUR",-0.350643116
